# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: McStas 2.6rc1 - Oct. 12, 2019
# Instrument: Samples_Incoherent.instr
# Ncount: 1000000
# Trace: no
# Gravitation: no
# Seed: 1570894005
# Directory: Samples_Incoherent/4
# Param: L_min=0.5
# Param: L_max=7
# Param: SAMPLE=5
# Param: STOP=1
# Param: V_multiples=0
# Param: Order=0
# Param: INC=5.08
# Param: ABS=5.08
# Param: DB=0
# Param: ISISFACE=hydrogen
# Date: Sat Oct 12 09:53:58 2019 (1570866838)
# type: array_2d(180, 180)
# Source: Samples_Incoherent (Samples_Incoherent.instr)
# component: Sphere_4pi
# position: 0 0 8.3
# title: 4PI PSD monitor
# Ncount: 1000000
# filename: Events.dat
# statistics: X0=0.0567566; dX=104.316; Y0=0.473629; dY=39.2247;
# signal: Min=0; Max=82; Mean=30.7453;
# values: 996148 998.072 996148
# xvar: Longitude
# yvar: Lattitude
# xlabel: Longitude [deg]
# ylabel: Lattitude [deg]
# zvar: I
# zlabel: Signal per bin
# xylimits: -180 180 -90 90
# variables: I I_err N
# Data [Sphere_4pi/Events.dat] I:
11 7 13 10 14 4 9 11 7 19 7 6 12 10 6 6 5 10 7 7 11 4 7 4 7 7 16 11 6 3 10 8 11 6 14 13 3 11 9 12 3 12 9 9 7 7 14 8 8 9 10 12 9 7 10 11 13 7 4 12 8 5 3 6 8 8 5 9 15 12 8 1 8 16 10 8 9 7 8 5 6 11 8 8 5 6 8 8 10 8 9 10 8 9 8 9 5 10 11 12 7 2 7 14 10 7 5 5 6 7 9 12 11 7 8 10 11 9 12 8 11 7 8 5 10 7 10 4 13 14 8 9 13 7 12 13 11 13 11 7 10 9 13 9 4 4 8 11 9 10 8 13 10 7 6 9 8 14 3 6 11 14 5 11 9 8 5 7 14 9 8 7 10 15 13 7 12 15 9 10 
7 11 11 11 8 12 10 10 12 8 9 9 9 12 10 7 9 6 7 3 13 8 11 10 8 9 13 11 12 11 8 9 5 7 10 14 8 14 13 5 7 10 8 13 11 4 13 10 2 9 11 19 6 14 9 7 10 7 11 8 6 15 12 9 10 10 5 8 11 11 16 7 6 16 10 13 13 11 5 10 4 8 9 13 8 11 9 15 10 19 2 15 8 9 7 6 9 9 10 5 13 9 7 6 7 13 13 11 11 8 8 10 11 10 13 8 12 9 9 9 12 10 7 15 5 7 15 8 8 5 7 10 17 10 10 13 14 13 9 9 12 13 10 5 11 10 8 14 10 8 13 12 9 14 9 9 10 12 8 7 9 9 13 7 8 8 14 6 11 14 8 12 15 16 11 5 4 7 9 14 
8 9 11 8 10 6 8 19 9 12 14 14 14 12 9 10 13 4 5 13 7 7 8 7 11 5 11 7 13 14 11 9 8 8 12 13 11 9 16 9 10 13 8 16 5 13 11 18 11 15 7 6 7 8 3 16 13 13 13 9 14 9 8 12 20 15 13 10 15 11 8 13 5 7 7 13 12 16 10 14 13 9 9 15 13 13 8 7 12 13 11 17 9 8 11 12 10 15 6 7 11 12 4 8 15 7 14 10 8 19 9 13 12 8 9 17 10 8 14 11 7 10 7 7 6 10 11 12 10 7 9 12 12 12 12 15 12 12 12 13 16 8 9 12 9 13 8 11 14 15 9 9 16 10 16 8 15 11 11 16 14 11 10 10 11 9 12 9 13 10 13 11 8 14 14 13 10 7 6 12 
13 12 13 13 14 15 19 19 12 12 15 7 10 12 11 12 15 11 14 11 10 11 11 12 10 10 12 11 14 9 16 18 11 8 11 11 10 11 13 13 11 21 9 12 12 10 8 16 17 16 9 8 13 12 15 8 15 13 8 19 12 15 14 14 14 15 13 13 16 9 14 15 10 12 5 16 17 10 6 12 5 11 8 15 16 8 13 11 4 10 8 7 12 15 6 5 13 16 15 10 13 10 11 18 12 10 12 10 9 14 10 10 13 13 11 15 13 9 14 9 12 6 6 10 11 10 16 5 11 10 8 9 11 12 15 16 9 18 10 8 14 14 12 11 16 14 9 18 13 15 9 18 12 10 17 17 6 10 12 14 12 8 8 12 14 10 9 11 14 17 10 8 12 10 8 9 9 8 13 14 
8 8 11 17 16 13 11 13 12 15 9 14 11 5 9 11 13 14 9 17 6 12 8 7 16 13 12 10 10 9 7 5 7 11 10 12 10 11 15 14 11 17 15 14 10 19 9 14 9 12 14 7 15 15 16 16 18 12 15 12 19 10 16 9 17 7 15 11 11 6 11 15 13 10 12 11 10 9 10 15 10 13 12 19 8 23 12 18 18 11 17 14 16 14 13 14 16 20 16 13 7 18 14 21 11 9 9 18 14 14 12 14 12 17 13 14 7 19 13 16 23 6 17 10 12 12 10 14 12 14 6 10 12 11 6 14 10 19 15 11 11 15 11 8 8 9 15 10 14 16 11 13 11 10 13 18 10 12 15 9 12 15 10 18 10 12 11 12 10 9 11 14 11 18 18 17 14 10 10 21 
7 12 14 9 10 8 14 11 9 19 17 10 11 13 14 17 15 18 9 10 14 11 17 11 11 11 10 12 11 14 17 13 11 11 17 16 14 17 6 17 17 11 11 12 21 13 8 14 17 8 17 10 15 8 15 12 25 11 13 14 10 19 16 15 14 7 14 11 20 13 7 13 9 11 12 11 11 12 11 12 11 7 10 12 14 11 17 10 18 11 9 15 15 17 14 18 16 12 14 12 11 11 12 9 9 13 10 12 11 14 17 7 16 8 12 13 17 19 9 15 14 16 15 16 8 15 15 17 13 24 9 15 13 14 14 13 14 16 17 15 14 14 14 15 16 14 16 11 12 17 14 14 14 22 12 13 13 14 10 13 15 12 13 15 17 14 14 18 13 8 18 8 15 12 15 9 14 13 8 7 
11 16 18 12 19 15 13 23 14 7 12 13 12 9 21 12 10 12 11 17 22 19 14 9 14 14 16 12 9 17 21 18 15 16 16 14 16 15 14 14 19 15 19 12 12 10 10 18 13 11 13 15 11 17 11 21 17 13 15 22 17 13 24 12 18 17 15 13 8 16 12 23 13 13 7 15 13 9 15 11 18 18 12 20 15 21 15 18 9 9 19 12 11 18 8 12 11 10 15 17 16 12 13 21 9 12 8 11 12 19 13 14 10 13 12 13 12 23 17 15 11 10 18 10 12 11 14 20 14 16 16 20 15 15 7 16 18 12 17 18 18 16 15 17 17 14 15 8 11 17 11 14 12 18 11 9 13 15 17 10 22 19 13 12 18 15 15 19 11 12 18 17 15 12 14 11 17 12 13 13 
16 15 17 14 17 23 23 15 16 18 24 18 22 12 13 23 13 12 17 13 19 15 20 14 8 11 16 8 13 15 20 15 14 16 10 19 15 14 20 12 11 19 12 21 9 15 15 18 15 20 15 14 17 20 9 13 17 16 13 17 15 12 10 17 14 10 17 12 10 18 15 12 20 13 16 22 19 17 16 19 17 17 12 10 13 18 13 14 7 12 19 16 16 9 16 19 14 16 14 16 20 11 8 15 18 12 8 6 18 21 18 14 14 22 12 15 7 16 18 13 24 10 14 17 19 19 16 16 11 13 13 14 19 19 13 7 10 16 20 16 12 10 16 14 16 10 16 9 17 19 8 9 15 12 16 11 13 14 16 20 15 24 13 6 16 13 16 18 9 11 9 16 15 14 23 15 14 12 10 13 
17 14 18 22 12 15 18 18 12 20 18 17 19 12 17 17 11 14 15 16 16 14 15 18 25 9 16 17 14 14 18 15 12 12 17 17 12 20 13 20 16 12 20 18 14 14 17 25 12 17 17 18 7 9 20 11 18 13 15 15 16 22 14 18 12 16 23 12 10 16 21 11 20 12 21 18 21 16 21 15 19 14 13 22 16 13 18 17 22 13 10 16 22 15 16 13 11 20 11 11 15 11 17 9 14 18 14 10 9 16 15 17 13 26 20 10 15 11 14 14 19 18 21 24 21 26 17 18 8 17 16 13 11 13 15 13 12 15 20 18 16 14 22 13 13 18 11 19 18 21 17 15 19 17 13 16 12 15 13 20 16 15 20 23 17 12 9 15 19 20 12 17 14 17 16 23 18 14 13 13 
13 16 17 13 16 7 28 15 9 16 11 12 20 18 17 23 13 20 19 13 14 14 18 16 11 15 22 15 8 23 13 23 15 15 16 11 15 15 12 14 17 17 16 12 17 16 19 15 17 20 12 24 17 14 17 20 7 13 22 8 20 12 10 18 9 17 14 20 15 17 14 15 19 24 18 15 19 19 17 13 23 9 14 19 13 20 22 18 10 20 15 17 21 19 18 20 16 19 12 19 24 16 15 15 20 19 23 16 20 23 14 22 17 19 23 20 15 21 18 13 21 15 18 11 17 15 23 17 18 14 19 17 20 15 9 16 23 14 21 24 17 19 20 12 13 15 17 19 13 24 18 12 23 14 24 23 19 10 27 14 13 27 12 23 17 24 16 11 21 12 13 27 18 11 23 21 17 26 15 15 
10 15 23 24 17 27 15 19 17 23 15 15 14 22 18 13 14 12 26 18 18 10 21 23 22 17 22 20 16 19 23 10 14 20 22 29 22 25 20 17 21 17 20 23 20 15 18 18 14 22 14 17 16 13 11 16 26 20 23 16 14 13 17 15 22 20 14 18 12 21 14 18 19 21 11 17 27 24 16 18 23 28 18 18 19 20 11 16 17 18 17 10 16 23 9 26 10 23 16 16 11 18 16 16 17 16 18 22 23 13 19 13 13 12 12 20 19 16 19 21 20 14 29 22 16 16 15 18 14 19 25 16 17 15 18 18 21 13 18 14 20 10 16 19 17 19 21 20 17 17 18 22 16 13 17 21 18 25 16 20 14 17 14 17 14 14 16 18 16 16 17 15 15 16 19 19 23 22 14 25 
11 21 20 32 30 17 21 16 17 22 22 22 16 19 12 25 22 19 10 24 21 12 21 16 22 18 15 19 14 19 12 21 25 20 24 15 13 24 16 17 21 13 22 16 17 16 11 8 14 23 15 23 17 16 20 21 19 23 22 19 16 17 24 17 11 16 20 18 14 22 15 18 7 18 15 11 19 18 23 17 15 11 16 16 14 15 13 18 25 26 17 20 18 21 17 16 14 15 16 16 23 21 21 19 19 17 18 20 20 31 16 19 17 20 21 15 30 19 10 22 24 21 24 16 17 16 17 17 25 24 15 14 17 23 20 21 12 26 19 17 20 30 14 25 16 19 16 19 17 28 14 13 19 24 19 24 23 15 18 21 18 17 17 20 22 20 20 17 20 13 17 15 12 13 18 13 6 18 25 17 
20 21 19 22 15 24 15 19 18 19 16 15 22 23 13 11 24 17 13 19 26 14 16 19 25 21 21 21 17 16 23 17 13 19 20 18 17 17 18 23 21 22 21 17 26 20 20 18 17 14 23 22 24 7 16 18 18 13 31 22 32 17 24 24 15 24 16 25 12 17 21 22 17 20 23 18 21 21 16 25 14 20 15 19 20 20 13 10 26 19 20 16 21 19 28 19 11 17 20 15 21 18 16 21 13 18 22 24 15 18 20 18 26 15 22 23 21 23 22 26 12 25 27 17 25 19 16 10 24 14 20 20 16 20 16 19 19 19 25 16 16 17 14 11 12 25 14 20 15 19 21 17 23 17 18 12 17 23 13 21 18 12 26 21 13 16 17 24 28 17 25 21 24 18 13 16 15 15 21 16 
